Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
blur_uru_train (80).jpg,Uru,68.70896899606302,166.92324384648816,106.27626722440958,139.68677537355086,0.49065092129462795,0.3768743845799713,0.43332156040029196,0.40863257632235567,5.2042937992126035,8.449810899621811,6.667507381889769,7.711203422406833,6.622795519694501,6.755140091721105,6.835747244480087,6.650394200161566,0.009053853434855312,0.006231123938470854,0.0073787129385782324,0.006584137168522348,0.09515173900068938,0.07893746853345915,0.08589943503061143,0.0811426963350513,0.9937714123975478,0.9847833819915327,0.9903438709168838,0.9872658180235044
uru_train (81).jpg,Uru,224.9820374015748,343.49482298964625,149.99175688976385,281.2140244280487,0.3695396726409571,0.29957351136203636,0.4159997376987806,0.33168434425458687,9.46948818897638,12.080972161944354,7.581446850393696,10.871907743815498,7.156998802193249,7.101534572441434,6.966061977753093,6.989903995510771,0.0054865757924875145,0.0043955374041320435,0.006624359806336801,0.004739476835888387,0.07407142358890853,0.06629884919161148,0.08139017020707599,0.06884385837450126,0.9795169956376936,0.9686231485059649,0.9863782417578483,0.9743119834838956
flip_h_uru_train (81).jpg,Uru,224.9820374015748,281.2140244280487,149.99175688976385,343.49482298964625,0.3695396726409571,0.33168434425458687,0.4159997376987806,0.29957351136203636,9.46948818897638,10.871907743815498,7.581446850393696,12.080972161944354,7.156998802193249,6.989903995510771,6.966061977753093,7.101534572441434,0.0054865757924875145,0.004739476835888387,0.006624359806336801,0.0043955374041320435,0.07407142358890853,0.06884385837450126,0.08139017020707599,0.06629884919161148,0.9795169956376936,0.9743119834838956,0.9863782417578483,0.9686231485059649
flip_v_uru_train (81).jpg,Uru,224.9820374015748,281.2140244280487,149.99175688976385,343.49482298964625,0.3695396726409571,0.33168434425458687,0.4159997376987806,0.29957351136203636,9.46948818897638,10.871907743815498,7.581446850393696,12.080972161944354,7.156998802193249,6.989903995510771,6.966061977753093,7.101534572441434,0.0054865757924875145,0.004739476835888387,0.006624359806336801,0.0043955374041320435,0.07407142358890853,0.06884385837450126,0.08139017020707599,0.06629884919161148,0.9795169956376936,0.9743119834838956,0.9863782417578483,0.9686231485059649
blur_uru_train (81).jpg,Uru,106.15877214566939,167.01382602765216,68.7106914370079,138.80135160270316,0.4329264605636795,0.37785231985159046,0.48961811923364373,0.4094973340377067,6.664431594488187,8.434124868249738,5.213890255905518,7.691425382850767,6.837212727235163,6.756850936612368,6.624695866812862,6.6521024070582095,0.007365385031063036,0.006228423517669171,0.009015131738759582,0.006577208330807004,0.08582182141543628,0.07892036186985694,0.09494804757739667,0.08109998970904377,0.9903512765566791,0.9847700231384579,0.9937691481778738,0.9873424224490276
uru_train (82).jpg,Uru,60.29318405511825,88.24204848409703,36.14443897637798,77.24359848719713,0.39092764596149976,0.32868682496006063,0.4385765489559839,0.34298205664638926,4.951894685039368,6.236592473184944,3.867125984251973,5.7949035898071735,7.643975437148205,7.560322651195327,7.4160657541957065,7.510376777022732,0.003374410862591264,0.00271401900606517,0.004127089491971955,0.0029163564434141077,0.05808967948432203,0.05209624752383966,0.06424242750684282,0.05400330030113074,0.9945085423021852,0.9918884680553509,0.9966870067558453,0.9928995951117252
flip_h_uru_train (82).jpg,Uru,60.29318405511825,77.24359848719713,36.14443897637798,88.24204848409703,0.39092764596149976,0.34298205664638926,0.4385765489559839,0.32868682496006063,4.951894685039368,5.7949035898071735,3.867125984251973,6.236592473184944,7.643975437148205,7.510376777022732,7.4160657541957065,7.560322651195327,0.003374410862591264,0.0029163564434141077,0.004127089491971955,0.00271401900606517,0.05808967948432203,0.05400330030113074,0.06424242750684282,0.05209624752383966,0.9945085423021852,0.9928995951117252,0.9966870067558453,0.9918884680553509
flip_v_uru_train (82).jpg,Uru,60.29318405511825,77.24359848719713,36.14443897637798,88.24204848409703,0.39092764596149976,0.34298205664638926,0.4385765489559839,0.32868682496006063,4.951894685039368,5.7949035898071735,3.867125984251973,6.236592473184944,7.643975437148205,7.510376777022732,7.4160657541957065,7.560322651195327,0.003374410862591264,0.0029163564434141077,0.004127089491971955,0.00271401900606517,0.05808967948432203,0.05400330030113074,0.06424242750684282,0.05209624752383966,0.9945085423021852,0.9928995951117252,0.9966870067558453,0.9918884680553509
blur_uru_train (82).jpg,Uru,32.50781250000006,49.1212102424205,18.987143208661433,42.678715357430704,0.4440458575145191,0.3829843011087843,0.4880073128429552,0.4054326133548215,3.68694635826772,4.715481430962868,2.8477485236220472,4.3048546097092215,7.396867051676395,7.30374735847355,7.159815562905358,7.247906639058067,0.0042704818075651844,0.0034878519753939546,0.005243316883118148,0.0038023481713774744,0.06534892353792207,0.05905803904121736,0.07241075115698047,0.06166318327314504,0.9970475104680121,0.995497596268653,0.9982646070106633,0.9960881969261456
uru_train (83).jpg,Uru,36.334399606299264,88.81802963605917,60.897145669291426,78.04054808109616,0.4356438446738584,0.32791909281479653,0.3906637829599809,0.33836472578635585,3.8841043307086665,6.246884493768983,4.967888779527564,5.845123690247382,7.420515326325017,7.566019125082221,7.650588902538887,7.517536399136975,0.004079641460064177,0.0026988447553682256,0.0033635597056350477,0.002874364419446183,0.06387207104880957,0.051950406691076305,0.05799620423471736,0.05361309932699455,0.9966709043279561,0.9918387534954638,0.9944555778580751,0.992829177164013
